Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Jessica McDonald,14.0,us USA,FW,30-073,82,0,0,0,0,,,0,0,,,,,,,0,,
Darian Jenkins,21.0,us USA,"FW,MF",23-127,8,0,0,0,0,,,0,0,,,,,,,0,,
Crystal Dunn,19.0,us USA,FW,25-313,49,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Hamilton,23.0,us USA,"FW,MF",26-025,41,0,0,0,0,,,0,0,,,,,,,0,,
Denise O'Sullivan,8.0,ie IRL,AM,24-097,90,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,7.0,us USA,AM,31-150,90,0,0,0,0,,,0,0,,,,,,,0,,
Debinha,10.0,br BRA,AM,26-204,88,0,0,0,0,,,0,0,,,,,,,0,,
Meredith Speck,25.0,us USA,MF,25-100,2,0,0,0,0,,,0,0,,,,,,,0,,
Sam Mewis,5.0,us USA,DM,25-215,90,0,0,0,0,,,0,0,,,,,,,0,,
Jaelene Daniels,15.0,us USA,LB,24-349,90,0,1,0,0,,,0,0,,,,,,,0,,
Abby Erceg,6.0,nz NZL,CB,28-173,90,1,0,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,13.0,us USA,CB,24-364,90,0,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,11.0,us USA,RB,27-314,90,0,0,0,0,,,0,0,,,,,,,0,,
Katelyn Rowland,1.0,us USA,GK,24-057,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
