Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,26-336,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Rachel Corsie,4.0,sct SCO,"DF,MF",26-258,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Kendall Fletcher,13.0,us USA,"DF,MF",31-177,67,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Lindsay Elston,6.0,us USA,"FW,MF",24-001,23,0.0,0.0,,,0.0,0.0,,,0,1,1.0,,,,,,
Kim Little,8.0,sct SCO,"FW,MF",25-307,90,1.0,0.0,,,3.0,2.0,,,0,1,0.0,,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",25-304,81,0.0,0.0,,,1.0,0.0,,,1,1,2.0,,,,,,
Michelle Cruz,21.0,us USA,DF,23-353,9,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Manon Melis,14.0,nl NED,"FW,MF",29-244,74,0.0,0.0,,,2.0,0.0,,,1,1,0.0,,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",28-057,16,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Carson Pickett,16.0,us USA,DF,22-229,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Elli Reed,7.0,us USA,"DF,MF",26-265,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Hope Solo,1.0,us USA,GK,34-276,90,,,,,,,,,0,1,,,,,,,
Keelin Winters,11.0,us USA,MF,27-144,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Beverly Yanez,17.0,us USA,"FW,MF",27-287,90,0.0,0.0,,,0.0,0.0,,,2,3,0.0,,,,,,
14 Players,,,,,990,1.0,0.0,,,6.0,2.0,,,8,9,3.0,,,,,,
