Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Brittany Cameron,,us USA,GK,27-151,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Jonelle Filigno,,ca CAN,"FW,MF",23-221,52,0,0,0,0,0,0,0,0,2,1,,,,,0,,
Kendall Johnson,,us USA,"DF,MF",23-009,38,0,0,0,0,2,1,0,0,0,2,,,,,0,,
Caitlin Foord,,au AUS,"DF,FW",19-173,90,0,0,0,0,0,0,0,0,2,0,,,,,0,,
CoCo Goodson,,us USA,DF,23-318,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Nanase Kiryū,,jp JPN,FW,24-184,90,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Taylor Lytle,,us USA,MF,25-033,90,0,0,0,0,1,1,0,0,1,2,,,,,0,,
Ashley Nick,,us USA,MF,26-188,90,0,0,0,0,3,1,0,0,0,0,,,,,0,,
Kelley O'Hara,,us USA,"DF,FW",25-272,90,0,1,0,0,3,0,0,0,1,1,,,,,0,,
Mónica Ocampo,,mx MEX,FW,27-119,67,1,0,0,0,5,1,0,0,1,0,,,,,0,,
Maya Hayes,,us USA,FW,22-038,23,0,0,0,0,1,0,0,0,0,2,,,,,0,,
Christie Pearce,,us USA,DF,38-313,90,0,0,0,0,0,0,0,0,2,1,,,,,0,,
Sophie Schmidt,,ca CAN,MF,25-309,90,0,0,0,0,3,2,0,0,0,0,,,,,0,,
13 Players,,,,,990,1,1,0,0,19,6,0,0,10,11,,,,,0,,
