Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lindsi Cutshall,,us USA,DF,23-295,60,0,0,0,0,0,0,0,0,0,0,,,,,0,,
CoCo Goodson,,us USA,DF,24-051,30,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Caitlin Foord,,au AUS,"DF,FW",19-271,90,0,0,0,0,1,1,0,0,1,1,,,,,0,,
Katy Freels,,us USA,MF,24-123,90,0,1,0,0,0,0,0,0,2,3,,,,,0,,
Maya Hayes,,us USA,FW,22-136,77,0,1,0,0,1,0,0,0,0,2,,,,,0,,
Jonelle Filigno,,ca CAN,"FW,MF",23-319,13,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Camille Levin,,us USA,DF,24-107,90,0,0,0,0,1,1,0,0,1,0,,,,,0,,
Jillian Loyden,,us USA,GK,29-045,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nadia Nadim,,dk DEN,"FW,MF",26-219,90,3,0,0,0,6,3,1,0,2,1,,,,,0,,
Ashley Nick,,us USA,MF,26-286,90,0,0,0,0,0,0,1,0,2,2,,,,,0,,
Kelley O'Hara,,us USA,"DF,FW",26-005,90,0,1,0,0,1,0,0,0,1,1,,,,,0,,
Christie Pearce,,us USA,DF,39-046,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Sophie Schmidt,,ca CAN,MF,26-042,90,0,0,0,0,1,0,0,0,4,2,,,,,0,,
13 Players,,,,,990,3,3,0,0,11,5,2,0,15,13,,,,,0,,
