Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,13.0,us USA,"DF,MF",26-313,90,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Nicole Barnhart,18.0,us USA,GK,31-259,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jen Buczkowski,6.0,us USA,"DF,MF",28-083,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Melissa Henderson,2.0,us USA,"FW,MF",23-307,66,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
Renae Cuéllar,10.0,mx MEX,FW,23-002,24,0,0,0,0,0,0,0,0,1,0,2,0,,,,,
Lauren Holiday,12.0,us USA,"FW,MF",25-269,90,1,0,0,0,2,2,0,0,1,0,0,0,,,,,
Courtney Jones,8.0,us USA,"DF,FW",23-036,39,0,0,0,0,0,0,0,0,0,0,3,0,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",22-359,51,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Kristie Mewis,19.0,us USA,"DF,MF",22-121,90,0,0,0,0,1,0,0,0,2,0,0,0,,,,,
Becky Sauerbrunn,4.0,us USA,DF,28-020,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Desiree Scott,11.0,ca CAN,MF,25-330,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lauren Sesselmann,14.0,ca CAN,"DF,FW",29-316,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Erika Tymrak,15.0,us USA,"FW,MF",21-323,62,1,0,0,0,1,1,0,0,0,0,0,0,,,,,
Sinead Farrelly,17.0,ie IRL,MF,23-222,28,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
14 Players,,,,,990,2,0,0,0,6,4,0,0,6,3,6,0,,,,,
