Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Alex Morgan,13.0,us USA,FW,28-034,90,1,0,0,0,,,0,0,,,,,,,0,,
Jasmyne Spencer,23.0,us USA,FW,26-343,74,0,1,0,0,,,0,0,,,,,,,0,,
Camila,9.0,br BRA,"DF,MF",22-299,16,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Hill,15.0,us USA,LM,22-110,23,0,0,0,0,,,0,0,,,,,,,0,,
Marta,10.0,br BRA,"FW,MF",31-167,67,0,0,0,0,,,0,0,,,,,,,0,,
Maddy Evans,18.0,us USA,CM,26-106,90,0,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,CM,23-141,58,0,0,0,0,,,0,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,"DF,MF",22-196,32,0,0,0,0,,,1,0,,,,,,,0,,
Jamia Fields,4.0,us USA,RM,23-315,90,0,0,0,0,,,0,0,,,,,,,0,,
Chioma Ubogagu,6.0,eng ENG,LB,24-329,90,0,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,3.0,us USA,CB,27-167,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,CB,33-008,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Edmonds,12.0,us USA,RB,30-075,90,0,0,0,0,,,0,0,,,,,,,0,,
Aubrey Kingsbury,19.0,us USA,GK,25-258,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
