Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sofia Huerta,11.0,us USA,FW,24-234,90,1,0,0,0,,,0,0,,,,,,,0,,
Jen Hoy,2.0,us USA,FW,26-199,89,0,1,0,0,,,0,0,,,,,,,0,,
Summer Green,19.0,us USA,FW,22-072,1,0,0,0,0,,,0,0,,,,,,,0,,
Vanessa DiBernardo,10.0,us USA,AM,25-082,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,7.0,us USA,DM,24-015,87,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Kaskie,30.0,us USA,MF,21-321,3,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,DM,24-091,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,DM,28-007,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Gorden,14.0,us USA,RB,24-326,45,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie McCaffrey,9.0,us USA,FW,24-168,45,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,26-056,90,0,0,0,0,,,1,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,23-171,90,0,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,LB,24-223,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,29-107,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
