Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",27-277,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nicole Barnhart,,us USA,GK,32-223,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Liz Bogus,,us USA,"FW,MF",30-086,73,0,1,0,0,1,1,0,0,0,0,,,,,0,,
Frances Silva,,us USA,"FW,MF",21-191,17,0,0,0,0,1,1,0,0,2,1,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",29-047,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Lauren Holiday,,us USA,"FW,MF",26-233,90,0,0,0,0,2,0,0,0,0,1,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",23-323,90,0,0,0,0,1,0,0,0,2,1,,,,,0,,
Nikki Phillips,,pl POL,"DF,MF",26-363,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Jenna Richmond,,us USA,MF,22-154,90,0,0,0,0,0,0,1,0,1,0,,,,,0,,
Amy Rodriguez,,us USA,"FW,MF",27-093,90,1,0,0,0,3,2,0,0,0,1,,,,,0,,
Becky Sauerbrunn,,us USA,DF,28-349,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Erika Tymrak,,us USA,"FW,MF",22-287,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
12 Players,,,,,990,1,1,0,0,8,4,1,0,6,6,,,,,0,,
