Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Josée Bélanger,9.0,ca CAN,FW,30-116,90,0.0,0.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Kristen Edmonds,12.0,us USA,"DF,MF",29-108,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Maddy Evans,18.0,us USA,"DF,MF",25-139,74,0.0,1.0,,,1.0,1.0,,,0,2,0.0,,,,,,
Sarah Hagen,8.0,us USA,FW,26-294,16,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Jamia Fields,4.0,us USA,FW,22-349,87,0.0,0.0,,,1.0,0.0,,,1,1,1.0,,,,,,
Lisa De Vanna,10.0,au AUS,FW,31-298,3,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Ashlyn Harris,1.0,us USA,GK,30-324,90,,,,,,,,,0,0,,,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,27-337,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Camille Levin,2.0,us USA,DF,26-136,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Mônica,21.0,br BRA,DF,38-156,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Alex Morgan,13.0,us USA,FW,27-067,90,1.0,0.0,,,5.0,1.0,,,0,2,0.0,,,,,,
Dani Weatherholt,17.0,us USA,MF,22-174,90,0.0,0.0,,,1.0,0.0,,,2,1,0.0,,,,,,
Sam Witteman,26.0,us USA,DF,22-194,61,0.0,0.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Jasmyne Spencer,23.0,us USA,"DF,FW",26-011,29,0.0,0.0,,,2.0,2.0,,,1,1,0.0,,,,,,
14 Players,,,,,990,1.0,1.0,,,13.0,4.0,,,8,14,1.0,,,,,,
