Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sam Kerr,20.0,au AUS,FW,24-230,90,0,0,0,0,,,1,0,,,,,,,0,,
Sofia Huerta,11.0,us USA,FW,25-135,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,FW,28-273,61,1,0,0,0,,,1,0,,,,,,,0,,
Michele Vasconcelos,15.0,us USA,FW,23-352,29,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,CM,24-357,90,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,2.0,us USA,CM,27-184,73,0,0,0,0,,,0,0,,,,,,,0,,
Julie Ertz,8.0,us USA,"DF,MF",26-022,17,0,0,0,0,,,0,0,,,,,,,0,,
Yūki Nagasato,12.0,jp JPN,CM,30-287,90,0,0,0,0,,,1,0,,,,,,,0,,
Arin Wright,3.0,us USA,LB,25-124,90,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,26-322,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,24-072,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,7.0,us USA,RB,24-281,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,30-008,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,0,0,0,,,3,0,,,,,,,0,,
