Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Adriana,,es ESP,FW,27-282,80,1,0,0,0,2,2,0,0,0,0,,,,,0,,
Amy Barczuk,,us USA,DF,23-292,10,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Sonia Bermúdez,,es ESP,FW,29-271,90,0,0,0,0,2,2,0,0,1,1,,,,,0,,
Kristen Edmonds,,us USA,"DF,MF",27-086,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
DiDi Haracic,,ba BIH,GK,22-126,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Sam Kerr,,au AUS,"FW,MF",20-340,72,1,0,0,0,4,1,0,0,0,0,,,,,0,,
Jasmyne Spencer,,us USA,"DF,FW",23-354,18,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Brittany Kolmel,,us USA,DF,26-332,90,0,0,0,0,0,0,0,0,0,3,,,,,0,,
Carli Lloyd,,us USA,"FW,MF",32-031,90,1,0,0,0,2,2,0,0,4,1,,,,,0,,
Vicky Losada,,es ESP,MF,23-164,63,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Angela Salem,,us USA,"FW,MF",26-023,27,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Abby Wambach,,us USA,FW,34-075,90,0,2,0,0,3,1,0,0,0,0,,,,,0,,
Kat Williamson,,us USA,DF,25-015,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
McCall Zerboni,,us USA,MF,27-246,90,0,0,0,0,1,0,1,0,3,1,,,,,0,,
14 Players,,,,,990,3,2,0,0,14,8,1,0,10,9,,,,,0,,
