Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Vanessa DiBernardo,,us USA,MF,22-093,82,0,0,0,0,4,2,0,0,1,1,,,,,0,,
Jen Hoy,,us USA,"FW,MF",23-210,8,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Abby Erceg,,nz NZL,"DF,FW",24-269,90,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Julie Ertz,,us USA,"DF,MF",22-132,90,1,0,1,1,2,1,1,0,1,2,,,,,0,,
Taryn Hemmings,,us USA,"DF,FW",28-112,90,0,0,0,0,0,0,0,0,2,0,,,,,0,,
Karina LeBlanc,,ca CAN,GK,34-139,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Adriana Leon,,ca CAN,"FW,MF",21-318,49,0,0,0,0,1,1,0,0,1,1,,,,,0,,
Lori Chalupny,,us USA,MF,30-199,41,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Alyssa Mautz,,us USA,"FW,MF",25-018,49,0,0,0,0,2,0,0,0,0,2,,,,,0,,
Shannon Boxx,,us USA,MF,37-048,41,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Christen Press,,us USA,FW,25-230,90,2,0,1,2,6,3,0,0,1,0,,,,,0,,
Rachel Quon,,ca CAN,DF,23-087,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Jackie Santacaterina,,us USA,DF,26-230,90,0,0,0,0,0,0,0,0,2,0,,,,,0,,
Melissa Tancredi,,ca CAN,FW,32-232,90,0,0,0,0,4,3,1,0,1,0,,,,,0,,
14 Players,,,,,990,3,0,2,3,21,10,2,0,10,8,,,,,0,,
