Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,26-349,90,0.0,1.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Rachel Corsie,4.0,sct SCO,"DF,MF",26-271,90,0.0,0.0,,,0.0,0.0,,,1,2,0.0,,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",28-070,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Kendall Fletcher,13.0,us USA,"DF,MF",31-190,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Kim Little,8.0,sct SCO,"FW,MF",25-320,90,0.0,0.0,,,1.0,0.0,,,1,2,0.0,,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",25-317,81,0.0,0.0,,,1.0,1.0,,,1,0,1.0,,,,,,
Lindsay Elston,6.0,us USA,"FW,MF",24-014,9,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Manon Melis,14.0,nl NED,"FW,MF",29-257,3,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Carson Pickett,16.0,us USA,DF,22-242,87,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Elli Reed,7.0,us USA,"DF,MF",26-278,90,0.0,0.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Hope Solo,1.0,us USA,GK,34-289,90,,,,,,,,,0,1,,,,,,,
Keelin Winters,11.0,us USA,MF,27-157,90,0.0,0.0,,,3.0,1.0,,,0,0,0.0,,,,,,
Beverly Yanez,,us USA,"FW,MF",27-300,90,1.0,0.0,,,1.0,1.0,,,0,1,0.0,,,,,,
13 Players,,,,,990,1.0,1.0,,,7.0,3.0,,,3,10,1.0,,,,,,
