Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Maribel Domínguez,9.0,mx MEX,FW,34-207,90,0,0,0,0,4,2,0,0,1,0,1,0,,,,,
Sonja Fuss,22.0,de GER,DF,34-220,90,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Dinora Garza,10.0,mx MEX,"FW,MF",25-140,45,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lori Chalupny,17.0,us USA,MF,29-135,45,0,0,0,0,0,0,0,0,1,2,0,0,,,,,
Taryn Hemmings,14.0,us USA,"DF,FW",27-048,90,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Michelle Lomnicki,23.0,us USA,DF,26-041,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",23-319,90,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
Jessica McDonald,8.0,us USA,FW,25-105,45,0,0,0,0,0,0,0,0,3,0,0,0,,,,,
Inka Grings,21.0,de GER,FW,34-225,45,0,0,0,0,2,1,0,0,0,1,0,0,,,,,
Jackie Santacaterina,18.0,us USA,DF,25-166,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jen Hoy,2.0,us USA,"FW,MF",22-146,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Julianne Sitch,19.0,us USA,"DF,MF",29-268,90,0,0,0,0,1,0,0,0,1,1,0,0,,,,,
Taylor Vancil,20.0,us USA,GK,22-026,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lydia Vandenbergh,13.0,au AUS,"DF,MF",29-162,90,0,0,0,0,0,0,1,0,1,2,0,0,,,,,
14 Players,,,,,990,0,0,0,0,8,3,1,0,11,6,2,0,,,,,
