Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danielle Colaprico,24.0,us USA,MF,23-141,90,0.0,0.0,,,2.0,2.0,,,4,0,0.0,,,,,,
Taylor Comeau,7.0,us USA,DF,23-065,67,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",27-057,23,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Michele Dalton,18.0,us USA,GK,27-324,90,,,,,,,,,0,0,,,,,,,
Vanessa DiBernardo,10.0,us USA,MF,24-132,87,0.0,1.0,,,0.0,0.0,,,2,1,0.0,,,,,,
Katie Lind,5.0,us USA,DF,22-222,3,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Julie Ertz,8.0,us USA,"DF,MF",24-171,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Sofia Huerta,11.0,us USA,"DF,FW",23-285,90,1.0,1.0,,,3.0,2.0,,,2,0,1.0,,,,,,
Samantha Johnson,16.0,us USA,"DF,MF",25-106,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Casey Krueger,6.0,us USA,DF,26-032,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Christen Press,23.0,us USA,FW,27-270,90,1.0,0.0,,,4.0,2.0,,,0,0,2.0,,,,,,
Cara Walls,12.0,us USA,FW,23-100,80,1.0,0.0,,,1.0,1.0,,,0,0,1.0,,,,,,
Jen Hoy,2.0,us USA,"FW,MF",25-250,10,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Arin Wright,3.0,us USA,"DF,MF",23-274,90,0.0,1.0,,,0.0,0.0,,,0,0,0.0,,,,,,
14 Players,,,,,990,3.0,3.0,,,10.0,7.0,,,9,1,4.0,,,,,,
