Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,24-033,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",25-120,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Kate Deines,4.0,us USA,"DF,MF",23-289,90,0,0,0,0,0,0,0,0,2,3,0,0,,,,,
Jess Fishlock,10.0,wls WAL,MF,26-170,90,0,0,0,0,5,1,1,0,2,2,0,0,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,24-270,90,0,0,0,0,0,0,1,0,2,0,1,0,,,,,
Jessica McDonald,22.0,us USA,FW,25-125,78,1,0,0,0,2,2,0,0,0,0,0,0,,,,,
Kennya Cordner,26.0,tt TRI,FW,24-234,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Christine Nairn,19.0,us USA,MF,22-281,90,0,1,0,0,0,0,0,0,0,2,0,0,,,,,
Megan Rapinoe,15.0,us USA,"FW,MF",27-363,90,0,0,0,0,6,1,0,0,3,0,3,0,,,,,
Elli Reed,7.0,us USA,"DF,MF",23-327,64,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Renae Cuéllar,23.0,mx MEX,FW,23-009,26,0,0,0,0,2,1,0,0,0,0,2,0,,,,,
Hope Solo,1.0,us USA,GK,31-338,90,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
Keelin Winters,11.0,us USA,MF,24-206,90,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
13 Players,,,,,990,1,1,0,0,17,6,2,0,11,10,6,0,,,,,
