Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Marissa Diggs,,us USA,DF,22-113,90,0,0,0,0,1,1,0,0,0,1,,,,,0,,
Becky Edwards,,us USA,"DF,MF",26-069,90,0,0,0,0,1,1,0,0,1,0,,,,,0,,
Whitney Engen,,us USA,DF,26-244,90,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Melissa Henderson,,us USA,"FW,MF",24-341,90,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Jordan Jackson,,us USA,MF,23-314,69,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Nina Burger,,at AUT,FW,26-215,21,0,0,0,0,1,1,0,0,3,0,,,,,0,,
Meghan Klingenberg,,us USA,"DF,MF",25-362,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Kelly McFarlane,,us USA,MF,21-301,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kaylyn Kyle,,ca CAN,MF,25-297,45,0,0,0,0,1,1,0,0,0,1,,,,,0,,
Erin McLeod,,ca CAN,GK,31-154,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Stephanie Ochs,,us USA,FW,23-335,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Rafaelle,,br BRA,"DF,FW",23-042,32,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Tiffany McCarty,,us USA,FW,23-228,58,0,0,0,0,0,0,0,0,2,0,,,,,0,,
Kealia Watt,,us USA,"FW,MF",22-180,90,1,0,0,0,2,1,0,0,1,1,,,,,0,,
14 Players,,,,,990,1,0,0,0,10,6,0,0,8,5,,,,,0,,
