Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Karina LeBlanc,1.0,ca CAN,GK,33-098,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Allie Long,10.0,us USA,"FW,MF",25-327,90,0,0,0,0,1,0,0,0,2,0,0,0,,,,,
Nikki Marshall,7.0,us USA,"DF,FW",25-034,67,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Danielle Foxhoven,9.0,us USA,"FW,MF",23-239,23,0,0,0,0,1,0,1,0,2,2,0,0,,,,,
Alex Morgan,13.0,us USA,FW,24-004,90,0,0,0,0,8,3,0,0,1,2,2,0,,,,,
Meleana Shim,6.0,us USA,MF,21-284,90,0,0,0,0,1,1,0,0,1,1,0,0,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",30-024,90,0,0,0,0,2,1,1,0,1,0,1,0,,,,,
Rachel Van Hollebeke,16.0,us USA,DF,27-314,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Nikki Washington,21.0,us USA,"FW,MF",24-339,56,0,0,0,0,1,0,0,0,0,1,0,0,,,,,
Angie Kerr,8.0,us USA,"FW,MF",28-099,34,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Tiffany Weimer,19.0,us USA,FW,29-213,90,0,0,0,0,5,2,0,0,1,0,0,0,,,,,
Courtney Wetzel,20.0,us USA,"DF,MF",24-131,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kat Williamson,5.0,us USA,DF,23-339,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
13 Players,,,,,990,0,0,0,0,20,7,2,0,12,6,3,0,,,,,
