Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,24-009,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Liz Bogus,5.0,us USA,"FW,MF",29-105,54,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Kate Deines,4.0,us USA,"DF,MF",23-265,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",25-096,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jess Fishlock,10.0,wls WAL,MF,26-146,90,0,0,0,0,4,0,0,0,1,2,0,0,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,24-246,90,0,0,0,0,1,0,1,0,3,1,0,0,,,,,
Kristen Meier,21.0,us USA,"DF,MF",22-121,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Christine Nairn,19.0,us USA,MF,22-257,90,0,0,0,0,3,2,0,0,0,0,0,0,,,,,
Teresa Noyola,8.0,mx MEX,"FW,MF",23-055,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Hope Solo,1.0,us USA,GK,31-314,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lindsay Taylor,17.0,us USA,FW,23-227,80,0,0,0,0,2,0,0,0,0,1,0,0,,,,,
Kristina Larsen,14.0,us USA,FW,24-358,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Keelin Winters,11.0,us USA,MF,24-182,90,0,0,0,0,2,1,0,0,1,0,0,0,,,,,
13 Players,,,,,990,0,0,0,0,13,4,1,0,5,4,0,0,,,,,
