Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,25-067,76,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Megan Brigman,,us USA,DF,23-272,14,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Stephanie Cox,,us USA,DF,28-125,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kiersten Dallstream,,us USA,"DF,FW",26-154,90,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Jess Fishlock,,wls WAL,MF,27-204,90,0,1,0,0,2,1,0,0,1,2,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",29-273,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nahomi Kawasumi,,jp JPN,"FW,MF",28-317,90,2,1,0,0,3,3,0,0,0,2,,,,,0,,
Haley Kopmeyer,,us USA,GK,24-039,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kim Little,,sct SCO,"FW,MF",24-038,66,1,1,0,0,1,1,0,0,0,0,,,,,0,,
Megan Rapinoe,,us USA,"FW,MF",29-032,24,0,0,0,0,1,0,0,0,1,0,,,,,0,,
Elli Reed,,us USA,"DF,MF",24-361,66,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",24-270,24,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Keelin Winters,,us USA,MF,25-240,90,0,0,0,0,2,0,0,0,0,0,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",26-018,90,1,0,0,0,5,4,0,0,0,1,,,,,0,,
14 Players,,,,,990,4,3,0,0,15,9,0,0,3,5,,,,,0,,
