Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Marissa Diggs,,us USA,DF,22-120,90,0,1,0,0,0,0,0,0,0,0,,,,,0,,
Becky Edwards,,us USA,"DF,MF",26-076,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Whitney Engen,,us USA,DF,26-251,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Melissa Henderson,,us USA,"FW,MF",24-348,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Jordan Jackson,,us USA,MF,23-321,45,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Bianca Henninger,,mx MEX,GK,23-288,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kaylyn Kyle,,ca CAN,MF,25-304,90,0,0,0,0,1,1,1,0,2,0,,,,,0,,
Tiffany McCarty,,us USA,FW,23-235,90,0,0,0,0,2,2,0,0,1,0,,,,,0,,
Stephanie Ochs,,us USA,FW,23-342,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Arianna Romero,,mx MEX,DF,22-008,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kika Toulouse,,us USA,DF,25-095,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kelly McFarlane,,us USA,MF,21-308,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kealia Watt,,us USA,"FW,MF",22-187,64,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Nina Burger,,at AUT,FW,26-222,26,1,0,0,0,1,1,0,0,0,0,,,,,0,,
14 Players,,,,,990,1,1,0,0,6,6,1,0,5,1,,,,,0,,
