Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yūki Nagasato,12.0,jp JPN,FW,30-280,90,0,0,0,0,,,0,0,,,,,,,0,,
Michele Vasconcelos,15.0,us USA,FW,23-345,82,0,0,0,0,,,0,0,,,,,,,0,,
Summer Green,19.0,us USA,FW,22-331,8,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,FW,28-266,90,0,1,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,2.0,us USA,CM,27-177,90,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,CM,24-350,89,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Kaskie,13.0,us USA,MF,22-215,1,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,11.0,us USA,CM,25-128,90,1,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,LB,25-117,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Gorden,14.0,us USA,CB,25-220,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,24-065,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,7.0,us USA,RB,24-274,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,30-001,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
