Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Savannah Jordan,13.0,us USA,FW,23-065,90,0,0,0,0,,,0,0,,,,,,,0,,
Kimberly Keever,18.0,us USA,AM,22-189,90,0,0,0,0,,,0,0,,,,,,,0,,
Veronica Latsko,12.0,us USA,AM,22-108,60,0,0,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,"FW,MF",23-039,30,0,0,0,0,,,0,0,,,,,,,0,,
Meleana Shim,6.0,us USA,AM,26-186,90,0,0,0,0,,,0,0,,,,,,,0,,
Haley Hanson,9.0,us USA,DM,22-056,90,0,0,0,0,,,0,0,,,,,,,0,,
Linda Motlhalo,10.0,za RSA,DM,19-272,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,19.0,us USA,LB,27-033,90,0,0,0,0,,,0,0,,,,,,,0,,
Janine van Wyk,5.0,za RSA,CB,30-347,75,0,0,0,0,,,0,0,,,,,,,0,,
Lindsay Agnew,20.0,ca CAN,FW,22-364,15,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,22.0,us USA,CB,27-066,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Daly,3.0,eng ENG,RB,26-114,90,0,0,0,0,,,0,0,,,,,,,0,,
Jane Campbell,1.0,us USA,GK,23-041,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,0,0,0,0,,,0,0,,,,,,,0,,
