Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danesha Adams,,us USA,"FW,MF",27-339,66,1,0,0,0,2,2,0,0,0,1,,,,,0,,
Renae Cuéllar,,mx MEX,FW,23-321,24,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Crystal Dunn,,us USA,"DF,MF",21-312,45,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Yael Averbuch,,us USA,"DF,MF",27-189,45,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Robyn Gayle,,ca CAN,DF,28-192,90,0,0,0,0,0,0,1,0,2,0,,,,,0,,
Ashlyn Harris,,us USA,GK,28-204,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Tori Huster,,us USA,"DF,MF",24-230,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Ali Krieger,,us USA,"DF,MF",29-287,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Diana Matheson,,ca CAN,MF,30-035,90,0,1,0,0,0,0,0,0,0,0,,,,,0,,
Christine Nairn,,us USA,MF,23-228,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Verónica Pérez,,mx MEX,"DF,MF",25-358,74,0,0,0,0,0,0,0,0,3,1,,,,,0,,
Lori Lindsey,,us USA,MF,34-053,16,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Toni Pressley,,us USA,DF,24-081,90,0,0,0,0,0,0,0,0,2,0,,,,,0,,
Jodie Taylor,,eng ENG,FW,27-359,90,0,0,0,0,1,1,0,0,0,2,,,,,0,,
14 Players,,,,,990,1,1,0,0,4,4,1,0,9,7,,,,,0,,
