Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Andressinha,17.0,br BRA,MF,20-364,90,0.0,0.0,,,4.0,1.0,,,0,6,0.0,,,,,,
Ellie Brush,8.0,au AUS,DF,27-254,90,0.0,0.0,,,0.0,0.0,,,2,1,0.0,,,,,,
Allysha Chapman,15.0,ca CAN,DF,27-095,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Rachel Daly,3.0,eng ENG,"DF,FW",24-145,90,0.0,0.0,,,5.0,2.0,,,3,2,2.0,,,,,,
Caity Heap,27.0,,MF,21-263,44,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Denise O'Sullivan,13.0,ie IRL,"FW,MF",22-085,46,0.0,0.0,,,2.0,1.0,,,1,1,0.0,,,,,,
Rebecca Moros,4.0,us USA,"DF,FW",30-359,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Poliana,2.0,br BRA,DF,25-083,90,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Cami Privett,23.0,us USA,MF,23-044,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Chioma Ubogagu,9.0,eng ENG,"FW,MF",23-232,80,0.0,0.0,,,2.0,0.0,,,1,1,1.0,,,,,,
Stephanie Ochs,22.0,us USA,FW,25-244,10,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Kealia Watt,7.0,us USA,"FW,MF",24-089,63,0.0,0.0,,,1.0,0.0,,,0,0,1.0,,,,,,
Janine Sonis,11.0,ca CAN,"FW,MF",21-253,27,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Lydia Williams,18.0,au AUS,GK,27-352,90,,,,,,,,,0,0,,,,,,,
14 Players,,,,,990,0.0,0.0,,,17.0,4.0,,,11,12,4.0,,,,,,
