Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Ashley Hatch,33.0,us USA,FW,23-029,90,0,0,0,0,,,0,0,,,,,,,0,,
Joanna Lohman,15.0,us USA,FW,35-362,56,0,0,0,0,,,0,0,,,,,,,0,,
Meggie Dougherty Howard,8.0,us USA,MF,22-331,34,0,0,0,0,,,1,0,,,,,,,0,,
Francisca Ordega,14.0,ng NGA,FW,24-247,90,0,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,23.0,us USA,CM,28-273,90,0,0,0,0,,,0,0,,,,,,,0,,
Andi Sullivan,6.0,us USA,CM,22-185,90,0,0,0,0,,,0,0,,,,,,,0,,
Quinn,4.0,ca CAN,CM,22-316,82,0,0,0,0,,,0,0,,,,,,,0,,
Tiffany Weimer,88.0,us USA,FW,34-200,8,0,0,0,0,,,0,0,,,,,,,0,,
Caprice Dydasco,3.0,us USA,LB,24-308,90,0,0,0,0,,,1,0,,,,,,,0,,
Estelle Johnson,24.0,cm CMR,CB,29-337,90,0,0,0,0,,,0,0,,,,,,,0,,
Whitney Church,5.0,us USA,CB,25-054,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Smith,7.0,us USA,RB,24-204,90,0,0,0,0,,,0,0,,,,,,,0,,
Aubrey Kingsbury,1.0,us USA,GK,26-215,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,0,0,0,0,,,2,0,,,,,,,0,,
