Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sam Kerr,20.0,au AUS,FW,24-234,90,0,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,FW,25-128,69,0,0,0,0,,,0,0,,,,,,,0,,
Michele Vasconcelos,15.0,us USA,FW,23-356,21,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,FW,28-277,69,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Kaskie,13.0,us USA,MF,22-226,21,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,CM,24-361,90,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,2.0,us USA,CM,27-188,80,0,0,0,0,,,0,0,,,,,,,0,,
Yūki Nagasato,12.0,jp JPN,"FW,MF",30-291,10,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,11.0,us USA,CM,25-139,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Gorden,14.0,us USA,LB,25-231,90,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,26-326,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,24-076,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,7.0,us USA,RB,24-285,90,0,0,0,0,,,1,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,30-012,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,1,0,,,,,,,0,,
