Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,"FW,MF",23-034,63,2.0,1.0,,,5.0,3.0,,,0,0,0.0,,,,,,
Adriana Leon,19.0,ca CAN,"FW,MF",23-266,27,0.0,0.0,,,1.0,0.0,,,3,0,1.0,,,,,,
Abby Dahlkemper,13.0,us USA,"DF,MF",23-042,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Jaelene Daniels,15.0,us USA,DF,23-027,90,0.0,1.0,,,0.0,0.0,,,1,2,0.0,,,,,,
Makenzy Doniak,3.0,us USA,"FW,MF",22-120,44,1.0,1.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Taylor Smith,11.0,us USA,"DF,FW",22-206,46,1.0,0.0,,,2.0,1.0,,,0,0,0.0,,,,,,
Elizabeth Eddy,4.0,us USA,"DF,MF",24-285,90,0.0,1.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Abby Erceg,6.0,nz NZL,"DF,FW",26-217,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Alanna Kennedy,8.0,au AUS,"DF,MF",21-155,90,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Jessica McDonald,14.0,us USA,FW,28-117,74,3.0,1.0,,,6.0,4.0,,,1,1,1.0,,,,,,
Kristen Hamilton,17.0,us USA,"FW,MF",24-068,16,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Sam Mewis,5.0,us USA,MF,23-259,90,0.0,2.0,,,1.0,0.0,,,1,2,1.0,,,,,,
Katelyn Rowland,12.0,us USA,GK,22-100,90,,,,,,,,,0,0,,,,,,,
McCall Zerboni,7.0,us USA,MF,29-194,90,0.0,0.0,,,1.0,0.0,1.0,0.0,3,2,0.0,,,,,,
14 Players,,,,,990,7.0,7.0,,,19.0,9.0,1.0,0.0,12,8,3.0,,,,,,
