Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Natasha Dowie,9.0,eng ENG,FW,29-001,80,0,0,0,0,,,0,0,,,,,,,0,,
Ifeoma Onumonu,22.0,ng NGA,FW,23-126,10,0,0,0,0,,,0,0,,,,,,,0,,
Emilie Haavi,7.0,no NOR,FW,25-015,61,0,0,0,0,,,0,0,,,,,,,0,,
Margaret Purce,21.0,us USA,"DF,FW",21-286,29,1,0,0,0,,,0,0,,,,,,,0,,
Adriana Leon,19.0,ca CAN,FW,24-272,74,0,0,0,0,,,0,0,,,,,,,0,,
Tiffany Weimer,18.0,us USA,FW,33-208,16,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Andrews,25.0,us USA,CM,22-098,90,0,0,0,0,,,0,0,,,,,,,0,,
Rosie White,10.0,nz NZL,CM,24-025,90,0,1,0,0,,,0,0,,,,,,,0,,
Angela Salem,26.0,us USA,CM,28-342,90,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,2.0,ca CAN,CB,28-157,90,0,0,0,0,,,1,0,,,,,,,0,,
Julie King,8.0,us USA,RB,27-253,90,0,0,0,0,,,0,0,,,,,,,0,,
Megan Oyster,4.0,us USA,CB,24-301,90,0,0,0,0,,,0,0,,,,,,,0,,
Brooke Elby,3.0,us USA,LB,24-038,90,0,0,0,0,,,0,0,,,,,,,0,,
Sammy Prudhomme,15.0,us USA,GK,23-249,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
