Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Francisca Ordega,14.0,ng NGA,FW,23-255,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,19.0,us USA,LB,26-126,66,0,0,0,0,,,0,0,,,,,,,0,,
Estefanía Banini,10.0,ar ARG,"FW,MF",27-010,24,0,0,0,0,,,0,0,,,,,,,0,,
Cheyna Matthews,20.0,jm JAM,RM,23-233,44,0,0,0,0,,,0,0,,,,,,,0,,
Mallory Swanson,11.0,us USA,"FW,MF",19-063,46,0,0,0,0,,,0,0,,,,,,,0,,
Havana Solaun,9.0,jm JAM,LM,24-128,90,0,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,23.0,us USA,CM,27-281,90,0,0,0,0,,,0,0,,,,,,,0,,
Meggie Dougherty Howard,29.0,us USA,CM,21-339,90,0,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,6.0,us USA,FW,25-056,80,0,0,0,0,,,0,0,,,,,,,0,,
Caprice Dydasco,3.0,us USA,DF,23-316,10,0,0,0,0,,,0,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,24-250,90,0,0,0,0,,,0,0,,,,,,,0,,
Whitney Church,5.0,us USA,CB,24-062,90,0,0,0,0,,,0,0,,,,,,,0,,
Estelle Johnson,24.0,cm CMR,RB,28-345,90,0,0,0,0,,,1,0,,,,,,,0,,
Stephanie Labbé,1.0,ca CAN,GK,30-264,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,1,0,,,,,,,0,,
