Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christen Press,23.0,us USA,FW,28-128,90,0,0,0,0,,,1,0,,,,,,,0,,
Sofia Huerta,11.0,us USA,FW,24-143,90,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,AM,24-000,90,0,0,0,0,,,0,0,,,,,,,0,,
Vanessa DiBernardo,10.0,us USA,DM,24-356,79,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie McCaffrey,9.0,us USA,FW,24-077,11,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,DM,27-281,90,0,0,0,0,,,0,0,,,,,,,0,,
Julie Ertz,8.0,us USA,DM,25-030,90,1,0,0,0,,,0,0,,,,,,,0,,
Casey Krueger,6.0,us USA,LB,26-256,90,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,25-330,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,23-080,90,0,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,RB,24-132,89,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Gorden,14.0,us USA,DF,24-235,1,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,29-016,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,0,0,0,,,1,0,,,,,,,0,,
