Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Natasha Dowie,9.0,eng ENG,FW,28-311,90,0,0,0,0,,,0,0,,,,,,,0,,
Margaret Purce,21.0,us USA,LW,21-231,79,0,0,0,0,,,0,0,,,,,,,0,,
Ifeoma Onumonu,22.0,ng NGA,FW,23-071,11,0,0,0,0,,,0,0,,,,,,,0,,
Rosie White,10.0,nz NZL,AM,23-335,60,0,0,0,0,,,1,0,,,,,,,0,,
Morgan Andrews,25.0,us USA,MF,22-043,30,0,0,0,0,,,0,0,,,,,,,0,,
Rose Lavelle,11.0,us USA,AM,21-358,90,0,0,0,0,,,0,0,,,,,,,0,,
Adriana Leon,19.0,ca CAN,RW,24-217,90,0,0,0,0,,,1,0,,,,,,,0,,
Angela Salem,26.0,us USA,DM,28-287,90,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,2.0,ca CAN,LB,28-102,90,0,0,0,0,,,0,0,,,,,,,0,,
Christen Westphal,20.0,us USA,CB,23-247,67,0,0,0,0,,,0,0,,,,,,,0,,
Amanda Frisbie,17.0,us USA,DF,24-343,23,0,0,0,0,,,0,0,,,,,,,0,,
Megan Oyster,4.0,us USA,CB,24-246,90,0,0,0,0,,,0,0,,,,,,,0,,
Julie King,8.0,us USA,RB,27-198,90,0,0,0,0,,,1,0,,,,,,,0,,
Abby Smith,14.0,us USA,GK,23-215,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,3,0,,,,,,,0,,
