Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Julie King,,us USA,DF,24-244,90,0,0,0,0,0,0,0,0,3,0,,,,,0,,
Kristie Mewis,,us USA,"DF,MF",23-117,84,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Jazmyne Avant,,us USA,DF,24-143,6,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Alyssa Naeher,,us USA,GK,26-063,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Heather O'Reilly,,us USA,"FW,MF",29-171,90,0,0,0,0,1,0,0,0,1,0,,,,,0,,
Mollie Pathman,,us USA,"FW,MF",21-356,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Jazmine Reeves,,us USA,FW,22-143,76,1,0,0,0,3,2,0,0,0,2,,,,,0,,
Nkem Ezurike,,ca CAN,FW,22-095,14,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Lianne Sanderson,,eng ENG,FW,26-139,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Bianca Sierra,,mx MEX,DF,21-362,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Chelsea Stewart,,ca CAN,MF,24-055,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Nikki Washington,,us USA,"FW,MF",25-325,73,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Maddy Evans,,us USA,"DF,MF",23-062,17,0,0,0,0,0,0,1,0,0,0,,,,,0,,
Cat Whitehill,,us USA,DF,32-132,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
14 Players,,,,,990,1,0,0,0,4,2,1,0,9,7,,,,,0,,
