Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Andressinha,17.0,br BRA,MF,20-351,87,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Caity Heap,27.0,,MF,21-250,3,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Amber Brooks,12.0,us USA,"DF,MF",25-084,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Ellie Brush,24.0,au AUS,DF,27-241,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Allysha Chapman,15.0,ca CAN,DF,27-082,90,0.0,0.0,,,0.0,0.0,,,0,3,0.0,,,,,,
Rachel Daly,3.0,eng ENG,"DF,FW",24-132,90,1.0,1.0,,,3.0,1.0,,,1,0,0.0,,,,,,
Carli Lloyd,10.0,us USA,"FW,MF",33-275,90,1.0,0.0,,,3.0,2.0,,,2,1,0.0,,,,,,
Rebecca Moros,4.0,us USA,"DF,FW",30-346,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Poliana,2.0,br BRA,DF,25-070,90,0.0,0.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Janine Sonis,11.0,ca CAN,"FW,MF",21-240,70,1.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Chioma Ubogagu,9.0,eng ENG,"FW,MF",23-219,20,0.0,0.0,,,1.0,0.0,,,0,1,1.0,,,,,,
Kealia Watt,7.0,us USA,"FW,MF",24-076,80,0.0,1.0,,,3.0,0.0,,,0,0,3.0,,,,,,
Stephanie Ochs,22.0,us USA,FW,25-231,10,0.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Lydia Williams,18.0,au AUS,GK,27-339,90,,,,,,,,,0,1,,,,,,,
14 Players,,,,,990,3.0,2.0,,,14.0,6.0,,,5,7,4.0,,,,,,
