Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Caitlin Foord,,au AUS,"DF,FW",19-251,90,0,0,0.0,0.0,0,0,0,0,0,1,,,,,0.0,,
Katy Freels,,us USA,MF,24-103,89,0,0,0.0,0.0,1,1,0,0,0,1,,,,,0.0,,
Nanase Kiryū,,jp JPN,FW,24-262,1,0,0,,,0,0,0,0,0,0,0.0,,,,,,
CoCo Goodson,,us USA,DF,24-031,90,0,0,0.0,0.0,0,0,0,0,0,1,,,,,0.0,,
Maya Hayes,,us USA,FW,22-116,63,0,0,0.0,0.0,0,0,0,0,0,1,,,,,0.0,,
Jonelle Filigno,,ca CAN,"FW,MF",23-299,27,0,0,0.0,0.0,1,0,0,0,1,0,,,,,0.0,,
Camille Levin,,us USA,DF,24-087,90,0,0,0.0,0.0,1,1,0,0,1,0,,,,,0.0,,
Jillian Loyden,,us USA,GK,29-025,90,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0.0,,
Nadia Nadim,,dk DEN,"FW,MF",26-199,90,1,1,0.0,0.0,7,4,0,0,6,1,,,,,0.0,,
Ashley Nick,,us USA,MF,26-266,86,0,0,0.0,0.0,2,0,0,0,1,0,,,,,0.0,,
Nikki Stanton,,us USA,MF,23-267,4,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0.0,,
Kelley O'Hara,,us USA,"DF,FW",25-350,90,2,2,0.0,0.0,4,3,0,0,0,2,,,,,0.0,,
Christie Pearce,,us USA,DF,39-026,90,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0.0,,
Sophie Schmidt,,ca CAN,MF,26-022,90,1,0,0.0,0.0,1,1,0,0,1,0,,,,,0.0,,
14 Players,,,,,990,4,3,0.0,0.0,17,10,0,0,10,7,0.0,,,,0.0,,
