Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Adriana,,es ESP,FW,27-227,69,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Jasmyne Spencer,,us USA,"DF,FW",23-299,21,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Kristen Edmonds,,us USA,"DF,MF",27-031,90,0,0,0,0,0,0,1,0,1,1,,,,,0,,
Sam Kerr,,au AUS,"FW,MF",20-285,90,1,0,0,0,2,1,0,0,0,0,,,,,0,,
Brittany Kolmel,,us USA,DF,26-277,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Carli Lloyd,,us USA,"FW,MF",31-341,90,0,0,0,0,2,2,0,0,4,1,,,,,1,,
Vicky Losada,,es ESP,MF,23-109,89,0,1,0,0,1,0,0,0,0,0,,,,,0,,
Sonia Bermúdez,,es ESP,FW,29-216,1,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Katherine Reynolds,,us USA,DF,26-281,90,0,0,0,0,0,0,1,0,1,0,,,,,0,,
Angela Salem,,us USA,"FW,MF",25-333,90,0,0,0,0,0,0,1,0,3,0,,,,,0,,
Lydia Williams,,au AUS,GK,26-040,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kat Williamson,,us USA,DF,24-325,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Teigen Allen,,au AUS,DF,20-130,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
McCall Zerboni,,us USA,MF,27-191,90,0,0,0,0,0,0,1,0,5,0,,,,,0,,
14 Players,,,,,990,1,1,0,0,7,4,4,0,14,3,,,,,1,,
