Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachel Daly,3.0,eng ENG,FW,26-213,90,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,7.0,us USA,AM,26-157,90,0,0,0,0,,,0,0,,,,,,,0,,
Kyah Simon,17.0,au AUS,AM,27-012,72,0,0,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,"FW,MF",23-138,18,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,23.0,us USA,AM,25-205,90,0,1,0,0,,,0,0,,,,,,,0,,
Clare Polkinghorne,8.0,au AUS,DM,29-156,90,0,0,0,0,,,0,0,,,,,,,0,,
Linda Motlhalo,10.0,za RSA,DM,20-006,90,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,4.0,ca CAN,LB,29-163,90,0,0,0,0,,,1,0,,,,,,,0,,
Janine van Wyk,5.0,za RSA,CB,31-081,90,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,22.0,us USA,CB,27-165,90,1,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,21.0,us USA,RB,24-351,90,0,0,0,0,,,0,0,,,,,,,0,,
Jane Campbell,1.0,us USA,GK,23-140,90,0,0,0,0,,,0,0,,,,,,,0,,
12 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
