Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Amy Rodriguez,8.0,us USA,FW,31-077,68,0,1,0,0,,,0,0,,,,,,,0,,
Katie Stengel,24.0,us USA,"FW,MF",26-065,22,0,0,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,5.0,us USA,AM,29-274,84,1,0,0,0,,,0,0,,,,,,,0,,
Katie Bowen,6.0,nz NZL,"DF,MF",24-020,6,0,0,0,0,,,0,0,,,,,,,0,,
Diana Matheson,10.0,ca CAN,AM,34-029,87,1,0,0,0,,,0,0,,,,,,,0,,
Erika Tymrak,15.0,us USA,"FW,MF",26-271,3,0,0,0,0,,,0,0,,,,,,,0,,
Katrina Gorry,19.0,au AUS,AM,25-265,90,0,0,0,0,,,0,0,,,,,,,0,,
Gunnhildur Yrsa Jónsdóttir,23.0,is ISL,DM,29-219,90,0,0,0,0,,,0,0,,,,,,,0,,
Desiree Scott,11.0,ca CAN,DM,30-278,90,0,0,0,0,,,0,0,,,,,,,0,,
Rebecca Moros,3.0,us USA,LB,32-364,90,0,0,0,0,,,0,0,,,,,,,0,,
Becky Sauerbrunn,4.0,us USA,CB,32-333,90,0,0,0,0,,,1,0,,,,,,,0,,
Rachel Corsie,2.0,sct SCO,CB,28-261,90,0,0,0,0,,,0,0,,,,,,,0,,
Brooke Elby,13.0,us USA,RB,24-346,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Smith,1.0,us USA,GK,24-213,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,0,0,,,1,0,,,,,,,0,,
