Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christine Sinclair,12.0,ca CAN,FW,34-040,90,0,0,0,0,,,0,0,,,,,,,0,,
Tyler Lussi,34.0,us USA,FW,22-177,76,0,1,0,0,,,0,0,,,,,,,0,,
Mallory Weber,26.0,us USA,"DF,FW",23-109,14,1,0,0,0,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,FW,22-320,90,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LM,28-354,90,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,10.0,us USA,CM,29-343,90,1,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,CM,23-057,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashleigh Sykes,14.0,au AUS,RM,25-219,82,0,1,0,0,,,1,0,,,,,,,0,,
Kelli Hubly,20.0,us USA,DF,22-347,8,0,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,24-359,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-239,90,0,0,0,0,,,0,0,,,,,,,0,,
Katherine Reynolds,2.0,us USA,CB,29-311,72,0,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,"DF,MF",23-093,18,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-252,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,1,0,,,,,,,0,,
