Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Janine Sonis,16.0,ca CAN,FW,22-273,90,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,7.0,us USA,FW,25-109,90,0,0,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,FW,22-090,70,0,0,0,0,,,0,0,,,,,,,0,,
Melissa Henderson,21.0,us USA,"FW,MF",27-270,20,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Gautrat,6.0,us USA,CM,24-083,80,0,0,0,0,,,0,0,,,,,,,0,,
Denise O'Sullivan,13.0,ie IRL,"FW,MF",23-105,10,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,12.0,us USA,CM,26-117,90,0,0,0,0,,,0,0,,,,,,,0,,
Andressinha,17.0,br BRA,CM,22-019,73,1,0,0,0,,,0,0,,,,,,,0,,
Caity Heap,27.0,,MF,22-283,17,0,0,0,0,,,0,0,,,,,,,0,,
Poliana,2.0,br BRA,LB,26-103,90,0,0,0,0,,,0,0,,,,,,,0,,
Cami Privett,23.0,us USA,CB,24-065,90,0,0,0,0,,,1,0,,,,,,,0,,
Cari Roccaro,5.0,us USA,CB,22-306,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Daly,3.0,eng ENG,RB,25-165,90,0,0,0,0,,,0,0,,,,,,,0,,
Lydia Williams,18.0,au AUS,GK,29-007,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,0,0,,,1,0,,,,,,,0,,
