Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Eunice Beckmann,27.0,de GER,FW,24-153,76,0.0,0.0,,,4.0,0.0,,,3,2,0.0,,,,,,
Brittany Ratcliffe,11.0,us USA,"FW,MF",22-154,14,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Brooke Elby,23.0,us USA,MF,23-047,87,0.0,0.0,,,0.0,0.0,,,3,1,0.0,,,,,,
Kassey Kallman,5.0,us USA,DF,24-065,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Julie King,8.0,us USA,DF,26-263,90,0.0,0.0,,,0.0,0.0,,,2,0,1.0,,,,,,
Jami Kranich,2.0,us USA,GK,24-044,90,,,,,,,,,0,0,,,,,,,
Elise Krieghoff,3.0,us USA,FW,22-235,56,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Stephanie McCaffrey,9.0,us USA,FW,23-143,90,0.0,0.0,,,3.0,1.0,,,2,1,0.0,,,,,,
Mollie Pathman,20.0,us USA,"FW,MF",24-009,90,1.0,0.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Angela Salem,26.0,us USA,"FW,MF",27-352,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Louise Schillgard,10.0,se SWE,MF,26-261,90,0.0,0.0,,,2.0,0.0,,,2,0,0.0,,,,,,
Katie Schoepfer,88.0,us USA,FW,27-243,53,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Rachel Wood,24.0,us USA,"DF,MF",26-061,37,0.0,0.0,,,1.0,0.0,,,3,1,0.0,,,,,,
Christen Westphal,21.0,us USA,DF,22-312,33,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
14 Players,,,,,986,1.0,0.0,,,12.0,2.0,,,18,7,1.0,,,,,,
