Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sam Kerr,20.0,au AUS,FW,23-280,90,2,1,0,0,,,0,0,,,,,,,0,,
McKenzie Meehan,2.0,us USA,FW,22-174,60,0,0,0,0,,,0,0,,,,,,,0,,
Madison Tiernan,73.0,us USA,MF,21-349,30,0,1,0,0,,,0,0,,,,,,,0,,
Leah Galton,21.0,eng ENG,LM,23-024,68,0,0,0,0,,,0,0,,,,,,,0,,
Maya Hayes,5.0,us USA,FW,25-083,22,0,1,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,16.0,us USA,CM,24-325,90,0,0,0,1,,,0,0,,,,,,,0,,
Raquel Rodríguez,11.0,cr CRC,CM,23-232,90,1,0,0,0,,,0,0,,,,,,,0,,
Taylor Lytle,6.0,us USA,RM,28-078,77,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,7.0,us USA,MF,26-234,13,0,0,0,0,,,1,0,,,,,,,0,,
Kayla Mills,15.0,us USA,LB,21-221,90,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Freeman,22.0,us USA,CB,22-086,90,0,0,0,0,,,0,0,,,,,,,0,,
Christie Pearce,3.0,us USA,CB,41-358,90,0,0,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,19.0,us USA,RB,28-317,90,0,0,0,0,,,1,0,,,,,,,0,,
Kailen Sheridan,1.0,ca CAN,GK,21-336,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,3,3,0,1,,,2,0,,,,,,,0,,
