Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Brittany Cameron,,us USA,GK,28-207,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsi Cutshall,,us USA,DF,24-253,90,0,0,0,0,,,0,0,,,,,,,0,,
Katy Freels,,us USA,MF,25-081,90,0,0,0,0,,,0,0,,,,,,,0,,
Shawna Gordon,,us USA,MF,25-161,74,0,0,0,0,,,0,0,,,,,,,0,,
CoCo Goodson,,us USA,DF,25-009,16,0,0,0,0,,,0,0,,,,,,,0,,
Kristin Grubka,,us USA,DF,22-193,90,0,0,0,0,,,0,0,,,,,,,0,,
Maya Hayes,,us USA,FW,23-094,69,0,0,0,0,,,0,0,,,,,,,0,,
Shade Pratt,,us USA,DF,22-087,21,0,0,0,0,,,0,0,,,,,,,0,,
Camille Levin,,us USA,DF,25-065,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Lytle,,us USA,MF,26-089,90,0,0,0,0,,,0,0,,,,,,,0,,
Hayley McCall,,us USA,DF,23-106,90,0,0,0,0,,,0,0,,,,,,,0,,
Meg Morris,,us USA,MF,23-048,45,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,,us USA,MF,24-245,45,0,0,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,,dk DEN,"FW,MF",27-177,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,0,0,,,,,,,0,,
