Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yael Averbuch,10.0,us USA,"DF,MF",29-299,90,0.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Nicole Barnhart,18.0,us USA,GK,34-323,90,,,,,,,,,0,0,,,,,,,
Katie Bowen,21.0,nz NZL,"DF,MF",22-135,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Shea Groom,2.0,us USA,"FW,MF",23-177,90,0.0,0.0,,,3.0,2.0,,,1,0,3.0,,,,,,
Brittany Kolmel,13.0,us USA,DF,28-345,90,0.0,0.0,,,2.0,0.0,,,1,0,1.0,,,,,,
Lo'eau LaBonta,1.0,us USA,MF,23-163,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Mandy Laddish,7.0,us USA,MF,24-107,89,0.0,0.0,,,2.0,0.0,,,0,1,0.0,,,,,,
Brianne Reed,22.0,do DOM,DF,22-205,1,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Heather O'Reilly,9.0,us USA,"FW,MF",31-239,90,0.0,0.0,,,4.0,2.0,,,2,1,1.0,,,,,,
Becky Sauerbrunn,4.0,us USA,DF,31-083,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Frances Silva,11.0,us USA,"FW,MF",23-291,77,0.0,0.0,,,1.0,0.0,,,1,2,0.0,,,,,,
Caroline Kastor,23.0,us USA,FW,24-321,13,0.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Erika Tymrak,,us USA,"FW,MF",25-021,65,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Tiffany McCarty,20.0,us USA,FW,25-258,26,0.0,0.0,,,1.0,0.0,,,1,1,1.0,,,,,,
14 Players,,,,,991,0.0,0.0,,,15.0,6.0,,,7,6,6.0,,,,,,
