Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Eunice Beckmann,27.0,de GER,FW,24-216,64,0.0,0.0,,,3.0,0.0,,,1,0,0.0,,,,,,
Brittany Ratcliffe,11.0,us USA,"FW,MF",22-217,26,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Natasha Dowie,9.0,eng ENG,FW,28-073,73,0.0,0.0,,,4.0,1.0,,,0,2,0.0,,,,,,
Brooke Elby,23.0,us USA,MF,23-110,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Kassey Kallman,5.0,us USA,DF,24-128,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Jami Kranich,2.0,us USA,GK,24-107,90,,,,,,,,,0,0,,,,,,,
Elise Krieghoff,3.0,us USA,FW,22-298,16,1.0,0.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Kristie Mewis,19.0,us USA,"DF,MF",25-199,90,0.0,0.0,,,2.0,1.0,,,1,0,1.0,,,,,,
Angela Salem,26.0,us USA,"FW,MF",28-049,90,0.0,0.0,,,0.0,0.0,,,2,2,0.0,,,,,,
Louise Schillgard,10.0,se SWE,MF,26-324,73,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Katie Schoepfer,88.0,us USA,FW,27-306,17,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Kyah Simon,17.0,au AUS,"FW,MF",25-078,90,0.0,0.0,,,1.0,0.0,,,2,1,0.0,,,,,,
Kylie Strom,30.0,us USA,DF,24-177,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Rachel Wood,24.0,us USA,"DF,MF",26-124,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
14 Players,,,,,989,1.0,0.0,,,11.0,3.0,,,9,8,1.0,,,,,,
