Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sam Kerr,20.0,au AUS,FW,23-308,90,1,0,0,0,,,1,0,,,,,,,0,,
Taylor Lytle,6.0,us USA,FW,28-106,90,0,0,0,0,,,0,0,,,,,,,0,,
Maya Hayes,5.0,us USA,FW,25-111,77,1,0,0,0,,,0,0,,,,,,,0,,
McKenzie Meehan,2.0,us USA,FW,22-202,13,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,7.0,us USA,CM,26-262,55,0,0,0,0,,,1,0,,,,,,,0,,
Raquel Rodríguez,11.0,cr CRC,"FW,MF",23-260,35,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,16.0,us USA,CM,24-353,90,0,1,0,0,,,0,0,,,,,,,0,,
Daphne Corboz,10.0,us USA,CM,24-031,90,0,0,0,0,,,0,0,,,,,,,0,,
Kayla Mills,15.0,us USA,LB,21-249,68,0,0,0,0,,,0,0,,,,,,,0,,
Leah Galton,21.0,eng ENG,"FW,MF",23-052,22,0,0,0,0,,,0,0,,,,,,,0,,
Erica Skroski,8.0,us USA,CB,23-151,90,0,0,0,0,,,1,0,,,,,,,0,,
Christie Pearce,3.0,us USA,CB,42-021,90,0,0,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,19.0,us USA,RB,28-345,90,0,0,0,0,,,1,0,,,,,,,0,,
Kailen Sheridan,1.0,ca CAN,GK,21-364,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,0,0,,,4,0,,,,,,,0,,
