Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Katie Stengel,24.0,us USA,FW,26-132,84,0,0,0,0,,,0,0,,,,,,,0,,
Brittany Ratcliffe,25.0,us USA,"FW,MF",24-154,6,0,0,0,0,,,0,0,,,,,,,0,,
Christen Press,21.0,us USA,AM,29-194,90,0,0,0,0,,,0,0,,,,,,,0,,
Amy Rodriguez,8.0,us USA,AM,31-144,90,0,0,0,0,,,0,0,,,,,,,0,,
Lo'eau LaBonta,9.0,us USA,AM,25-115,76,0,0,0,0,,,0,0,,,,,,,0,,
Katrina Gorry,19.0,au AUS,MF,25-332,14,0,0,0,0,,,0,0,,,,,,,0,,
Desiree Scott,11.0,ca CAN,DM,30-345,90,0,0,0,0,,,0,0,,,,,,,0,,
Gunnhildur Yrsa Jónsdóttir,23.0,is ISL,DM,29-286,90,0,0,0,0,,,1,0,,,,,,,0,,
Rebecca Moros,3.0,us USA,LB,33-066,89,0,0,0,0,,,0,0,,,,,,,0,,
Erika Tymrak,15.0,us USA,"FW,MF",26-338,1,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,27-031,90,0,0,0,0,,,1,0,,,,,,,0,,
Rachel Corsie,2.0,sct SCO,CB,28-328,90,0,0,0,0,,,1,0,,,,,,,0,,
Katie Bowen,6.0,nz NZL,RB,24-087,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Smith,1.0,us USA,GK,24-280,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,3,0,,,,,,,0,,
