Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Maddy Evans,,us USA,"DF,MF",23-067,90,0,1,0,0,1,0,0,0,1,1,,,,,0,,
Nkem Ezurike,,ca CAN,FW,22-100,90,1,0,0,0,1,1,0,0,2,3,,,,,0,,
Kristie Mewis,,us USA,"DF,MF",23-122,56,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Lianne Sanderson,,eng ENG,FW,26-144,34,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Alyssa Naeher,,us USA,GK,26-068,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Heather O'Reilly,,us USA,"FW,MF",29-176,90,0,0,0,0,1,0,0,0,1,0,,,,,0,,
Mollie Pathman,,us USA,"FW,MF",21-361,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Jazmine Reeves,,us USA,FW,22-148,90,0,0,0,0,3,2,1,0,1,3,,,,,0,,
Bianca Sierra,,mx MEX,DF,22-002,90,0,0,0,0,0,0,1,0,2,0,,,,,0,,
Chelsea Stewart,,ca CAN,MF,24-060,65,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Katie Schoepfer,,us USA,FW,25-229,25,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Nikki Washington,,us USA,"FW,MF",25-330,80,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Jazmyne Avant,,us USA,DF,24-148,10,0,0,0,0,0,0,1,0,2,0,,,,,0,,
Cat Whitehill,,us USA,DF,32-137,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
14 Players,,,,,990,1,1,0,0,8,4,3,0,11,12,,,,,0,,
