Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lori Chalupny,17.0,us USA,MF,29-131,90,1,0,0,0,5,2,1,0,2,1,0,0,,,,,
Sonja Fuss,22.0,de GER,DF,34-216,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Inka Grings,21.0,de GER,FW,34-221,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Taryn Hemmings,14.0,us USA,"DF,FW",27-044,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Michelle Lomnicki,23.0,us USA,DF,26-037,90,0,0,0,0,1,0,1,0,2,0,0,0,,,,,
Ella Masar,3.0,us USA,FW,27-067,81,0,0,0,0,2,0,0,0,2,0,0,0,,,,,
Lydia Vandenbergh,13.0,au AUS,"DF,MF",29-158,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jessica McDonald,8.0,us USA,FW,25-101,69,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",23-315,21,0,0,0,0,1,1,0,0,1,0,0,0,,,,,
Erin McLeod,1.0,ca CAN,GK,30-103,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Rachel Quon,11.0,ca CAN,DF,22-019,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Jackie Santacaterina,18.0,us USA,DF,25-162,90,0,0,0,0,1,0,0,0,2,1,0,0,,,,,
Julianne Sitch,19.0,us USA,"DF,MF",29-264,90,0,1,0,0,1,0,0,0,2,0,0,0,,,,,
13 Players,,,,,990,1,1,0,0,11,3,2,0,11,4,0,0,,,,,
