Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Adriana,8.0,es ESP,FW,26-269,63,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
Vicki DiMartino,15.0,us USA,"DF,FW",21-333,27,1,0,0,0,1,1,0,0,0,0,1,0,,,,,
Adrianna Franch,24.0,us USA,GK,22-264,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sarah Huffman,14.0,us USA,MF,29-151,90,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Estelle Johnson,12.0,cm CMR,DF,25-013,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sam Kerr,4.0,au AUS,"FW,MF",19-327,73,0,0,0,0,3,1,0,0,0,0,0,0,,,,,
Ingrid Wells,9.0,us USA,MF,24-127,17,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
Brittany Kolmel,13.0,us USA,DF,25-319,90,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Carli Lloyd,10.0,us USA,"FW,MF",31-018,90,1,0,0,0,5,2,1,0,2,1,0,0,,,,,
Katherine Reynolds,16.0,us USA,DF,25-323,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Angela Salem,6.0,us USA,"FW,MF",25-010,90,0,0,0,0,1,0,0,0,2,0,0,0,,,,,
Abby Wambach,20.0,us USA,FW,33-062,90,0,0,0,0,1,0,1,0,3,1,2,0,,,,,
McCall Zerboni,7.0,us USA,MF,26-233,63,0,0,0,0,1,0,0,0,0,1,1,0,,,,,
Verónica Pérez,17.0,mx MEX,"DF,MF",25-077,27,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
14 Players,,,,,990,2,1,0,0,12,4,2,0,9,3,7,0,,,,,
