Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yael Averbuch,10.0,us USA,"DF,MF",29-249,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Nicole Barnhart,18.0,us USA,GK,34-273,90,,,,,,,,,0,0,,,,,,,
Katie Bowen,21.0,nz NZL,"DF,MF",22-085,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Shea Groom,2.0,us USA,"FW,MF",23-127,90,2.0,0.0,,,5.0,2.0,,,1,0,1.0,,,,,,
Brittany Kolmel,13.0,us USA,DF,28-295,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Lo'eau LaBonta,1.0,us USA,MF,23-113,90,0.0,0.0,,,1.0,0.0,,,2,2,0.0,,,,,,
Mandy Laddish,7.0,us USA,MF,24-057,90,0.0,0.0,,,3.0,2.0,,,2,1,0.0,,,,,,
Tiffany McCarty,20.0,us USA,FW,25-208,89,0.0,2.0,,,2.0,1.0,,,1,0,1.0,,,,,,
Tiffany Weimer,16.0,us USA,FW,32-217,1,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Brianne Reed,22.0,do DOM,DF,22-155,78,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Molly Menchel,24.0,us USA,DF,24-217,12,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Frances Silva,11.0,us USA,"FW,MF",23-241,90,0.0,0.0,,,2.0,1.0,,,2,0,0.0,,,,,,
Erika Tymrak,,us USA,"FW,MF",24-337,88,0.0,0.0,,,2.0,1.0,,,1,0,0.0,,,,,,
Caroline Kastor,23.0,us USA,FW,24-271,3,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
14 Players,,,,,991,2.0,2.0,,,15.0,7.0,,,13,5,2.0,,,,,,
