Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,FW,24-006,90,0,0,0,0,,,0,0,,,,,,,0,,
Makenzy Doniak,3.0,us USA,LM,23-091,71,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Hamilton,23.0,us USA,"FW,MF",25-040,19,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Smith,11.0,us USA,RM,23-177,90,0,0,0,0,,,0,0,,,,,,,0,,
Yuri Kawamura,20.0,jp JPN,CM,28-010,31,0,0,0,0,,,0,0,,,,,,,0,,
Debinha,10.0,br BRA,"FW,MF",25-219,59,1,0,0,0,,,0,0,,,,,,,0,,
Sam Mewis,5.0,us USA,CM,24-230,90,0,1,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,7.0,us USA,CM,30-165,90,0,0,0,0,,,0,0,,,,,,,0,,
Jaelene Daniels,15.0,us USA,LB,23-364,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Erceg,6.0,nz NZL,CB,27-188,90,1,0,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,13.0,us USA,CB,24-014,90,0,0,0,0,,,0,0,,,,,,,0,,
Sam Witteman,26.0,us USA,RB,23-090,45,0,0,0,0,,,0,0,,,,,,,0,,
Jessica McDonald,14.0,us USA,FW,29-088,45,0,0,0,0,,,0,0,,,,,,,0,,
Sabrina D'Angelo,1.0,ca CAN,GK,24-016,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,0,0,,,0,0,,,,,,,0,,
