Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Mariah Bullock,20.0,ws SAM,"DF,MF",22-124,90,1,0,0,0,2,1,0,0,1,0,0,0,,,,,
Maddy Evans,18.0,us USA,"DF,MF",22-066,65,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Joanna Lohman,11.0,us USA,"DF,MF",31-000,25,0,0,0,0,1,0,0,0,0,0,1,0,,,,,
Julie King,8.0,us USA,DF,23-248,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sydney Leroux,2.0,us USA,"FW,MF",23-050,90,0,0,0,0,4,0,0,0,1,2,3,0,,,,,
Kia McNeill,14.0,us USA,DF,27-042,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alyssa Naeher,1.0,us USA,GK,25-067,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Heather O'Reilly,9.0,us USA,"FW,MF",28-175,90,0,0,0,0,6,4,1,0,1,0,0,0,,,,,
Katie Schoepfer,12.0,us USA,FW,24-228,62,0,0,0,0,2,0,0,0,2,0,0,0,,,,,
Lianne Sanderson,10.0,eng ENG,FW,25-143,28,0,0,0,0,1,0,0,0,0,1,0,0,,,,,
Kyah Simon,17.0,au AUS,"FW,MF",22-001,90,0,0,0,0,5,2,0,0,2,1,1,0,,,,,
Cat Whitehill,4.0,us USA,DF,31-136,90,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Rhian Wilkinson,7.0,ca CAN,"DF,FW",31-045,88,0,0,0,0,1,1,0,0,0,2,0,0,,,,,
Adriana Leon,19.0,ca CAN,"FW,MF",20-267,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
14 Players,,,,,990,1,0,0,0,24,9,1,0,7,6,5,0,,,,,
