Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Mariah Bullock,20.0,ws SAM,"DF,MF",22-078,75,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Kyah Simon,17.0,au AUS,"FW,MF",21-320,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jo Dragotta,25.0,us USA,"DF,MF",22-089,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Julie King,8.0,us USA,DF,23-202,90,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Sydney Leroux,2.0,us USA,"FW,MF",23-004,90,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Joanna Lohman,11.0,us USA,"DF,MF",30-319,90,1,0,0,0,1,1,0,0,2,1,0,0,,,,,
Melinda Mercado,23.0,us USA,DF,23-053,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Heather O'Reilly,9.0,us USA,"FW,MF",28-129,90,0,0,0,0,2,2,0,0,0,0,1,0,,,,,
Ashley Phillips,24.0,us USA,GK,27-079,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lianne Sanderson,10.0,eng ENG,FW,25-097,90,0,1,0,0,0,0,0,0,0,1,0,0,,,,,
Katie Schoepfer,12.0,us USA,FW,24-182,45,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Adriana Leon,19.0,ca CAN,"FW,MF",20-221,45,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Cat Whitehill,4.0,us USA,DF,31-090,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
13 Players,,,,,990,1,1,0,0,5,3,0,0,8,3,1,0,,,,,
