Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Ashley Hatch,12.0,us USA,FW,22-072,86,0,0,0,0,,,0,0,,,,,,,0,,
Debinha,10.0,br BRA,"FW,MF",25-289,4,0,0,0,0,,,0,0,,,,,,,0,,
Lynn Biyendolo,9.0,us USA,FW,24-076,90,1,0,0,0,,,0,0,,,,,,,0,,
Kristen Hamilton,23.0,us USA,AM,25-110,89,0,0,0,0,,,0,0,,,,,,,0,,
Sam Witteman,26.0,us USA,DF,23-160,1,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,7.0,us USA,DM,30-235,90,0,0,0,0,,,0,0,,,,,,,0,,
Sam Mewis,5.0,us USA,DM,24-300,90,0,0,0,0,,,0,0,,,,,,,0,,
Makenzy Doniak,3.0,us USA,DM,23-161,61,0,1,0,0,,,0,0,,,,,,,0,,
Jessica McDonald,14.0,us USA,FW,29-158,29,0,0,0,0,,,0,0,,,,,,,0,,
Jaelene Daniels,15.0,us USA,LB,24-069,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Erceg,6.0,nz NZL,CB,27-258,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,13.0,us USA,CB,24-084,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Smith,11.0,us USA,RB,23-247,90,0,0,0,0,,,0,0,,,,,,,0,,
Katelyn Rowland,20.0,us USA,GK,23-142,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
