Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Crystal Dunn,19.0,us USA,FW,25-307,90,0,0,0,0,,,0,0,,,,,,,0,,
Lynn Biyendolo,9.0,us USA,FW,24-350,90,0,0,0,0,,,0,0,,,,,,,0,,
Debinha,10.0,br BRA,LM,26-198,89,0,0,0,0,,,0,0,,,,,,,0,,
Darian Jenkins,21.0,us USA,"FW,MF",23-121,1,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,7.0,us USA,CM,31-144,90,1,0,0,0,,,1,0,,,,,,,0,,
Sam Mewis,5.0,us USA,CM,25-209,61,0,0,0,0,,,1,0,,,,,,,0,,
Jessica McDonald,14.0,us USA,FW,30-067,29,0,0,0,0,,,0,0,,,,,,,0,,
Denise O'Sullivan,8.0,ie IRL,RM,24-091,78,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Hamilton,23.0,us USA,"FW,MF",26-019,12,0,0,0,0,,,0,0,,,,,,,0,,
Jaelene Daniels,15.0,us USA,LB,24-343,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Erceg,6.0,nz NZL,CB,28-167,90,0,1,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,13.0,us USA,CB,24-358,90,0,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,11.0,us USA,RB,27-308,90,0,0,0,0,,,0,0,,,,,,,0,,
Sabrina D'Angelo,1.0,ca CAN,GK,24-360,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,2,0,,,,,,,0,,
