Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Natasha Dowie,9.0,eng ENG,FW,28-318,90,0,0,0,0,,,0,0,,,,,,,0,,
Amanda Frisbie,17.0,us USA,LW,24-350,45,0,0,0,0,,,0,0,,,,,,,0,,
Margaret Purce,21.0,us USA,"DF,FW",21-238,45,0,0,0,0,,,0,0,,,,,,,0,,
Rosie White,10.0,nz NZL,AM,23-342,71,0,0,0,0,,,0,0,,,,,,,0,,
Amanda DaCosta,5.0,pt POR,MF,27-219,19,0,0,0,0,,,0,0,,,,,,,0,,
Rose Lavelle,11.0,us USA,AM,22-000,90,1,0,0,0,,,0,0,,,,,,,0,,
Adriana Leon,19.0,ca CAN,RW,24-224,83,0,0,0,0,,,0,0,,,,,,,0,,
Brooke Elby,3.0,us USA,MF,23-355,7,0,0,0,0,,,0,0,,,,,,,0,,
Angela Salem,26.0,us USA,DM,28-294,90,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,2.0,ca CAN,LB,28-109,90,0,0,0,0,,,0,0,,,,,,,0,,
Julie King,8.0,us USA,RB,27-205,90,0,0,0,0,,,1,0,,,,,,,0,,
Megan Oyster,4.0,us USA,CB,24-253,90,0,0,0,0,,,0,0,,,,,,,0,,
Christen Westphal,20.0,us USA,CB,23-254,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Smith,14.0,us USA,GK,23-222,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,0,0,,,1,0,,,,,,,0,,
