Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Chioma Ubogagu,6.0,eng ENG,FW,24-217,90,0,0,0,0,,,0,0,,,,,,,0,,
Camila,9.0,br BRA,FW,22-187,90,0,0,0,0,,,0,0,,,,,,,0,,
Jasmyne Spencer,23.0,us USA,FW,26-231,90,0,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,CM,23-029,62,0,0,0,0,,,0,0,,,,,,,0,,
Maddy Evans,18.0,us USA,"DF,MF",25-359,28,0,0,0,0,,,0,0,,,,,,,0,,
Mônica,21.0,br BRA,CM,39-011,78,0,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,3.0,us USA,DF,27-055,13,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Edmonds,12.0,us USA,CM,29-328,90,0,0,0,0,,,0,0,,,,,,,0,,
Steph Catley,7.0,au AUS,LB,23-079,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,CB,32-261,90,0,0,0,0,,,0,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,CB,22-084,90,0,0,0,0,,,0,0,,,,,,,0,,
Jamia Fields,4.0,us USA,RB,23-203,71,0,0,0,0,,,0,0,,,,,,,0,,
Danica Evans,8.0,us USA,FW,21-317,19,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,24.0,us USA,GK,31-178,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,991,0,0,0,0,,,0,0,,,,,,,0,,
