Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Alex Morgan,13.0,us USA,FW,28-363,90,0,0,0,0,,,0,0,,,,,,,0,,
Marta,10.0,br BRA,FW,32-131,90,0,0,0,0,,,0,0,,,,,,,0,,
Sydney Leroux,2.0,us USA,LM,28-054,90,0,0,0,0,,,0,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,CM,23-160,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily van Egmond,5.0,au AUS,CM,24-353,70,0,0,0,0,,,0,0,,,,,,,0,,
Christine Nairn,7.0,us USA,MF,27-278,20,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Hill,15.0,us USA,RM,23-074,45,0,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,MF,24-105,45,0,0,0,0,,,0,0,,,,,,,0,,
Poliana,19.0,br BRA,LB,27-144,90,0,0,0,0,,,0,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,25-249,90,0,0,0,0,,,0,0,,,,,,,0,,
Mônica,21.0,br BRA,CB,40-087,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,RB,33-337,74,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Edmonds,12.0,us USA,"DF,MF",31-039,16,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,24.0,us USA,GK,32-254,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,0,0,,,,,,,0,,
