Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Kristen Hamilton,23.0,us USA,FW,25-068,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashley Hatch,12.0,us USA,FW,22-030,90,1,0,0,0,,,0,0,,,,,,,0,,
Makenzy Doniak,3.0,us USA,LM,23-119,85,0,0,0,0,,,0,0,,,,,,,0,,
Elizabeth Eddy,4.0,us USA,"DF,MF",25-284,5,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,7.0,us USA,CM,30-193,90,0,0,0,0,,,0,0,,,,,,,0,,
Sam Mewis,5.0,us USA,CM,24-258,90,0,1,0,0,,,0,0,,,,,,,0,,
Debinha,10.0,br BRA,RM,25-247,78,0,0,0,0,,,0,0,,,,,,,0,,
Sam Witteman,26.0,us USA,DF,23-118,12,0,0,0,0,,,0,0,,,,,,,0,,
Jaelene Daniels,15.0,us USA,LB,24-027,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Erceg,6.0,nz NZL,CB,27-216,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,13.0,us USA,CB,24-042,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Smith,11.0,us USA,RB,23-205,90,0,0,0,0,,,0,0,,,,,,,0,,
Katelyn Rowland,99.0,us USA,GK,23-100,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
