Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Michelle Betos,,us USA,GK,27-173,90,0,0,0,0,,,0,0,,,,,,,0,,
Sinead Farrelly,,ie IRL,MF,25-269,31,0,0,0,0,,,0,0,,,,,,,0,,
Kendall Johnson,,us USA,"DF,MF",24-110,59,0,0,0,0,,,0,0,,,,,,,0,,
Tobin Heath,,us USA,"FW,MF",27-075,90,0,0,0,0,,,0,0,,,,,,,0,,
Kaylyn Kyle,,ca CAN,MF,26-310,69,0,0,0,0,,,0,0,,,,,,,0,,
Genoveva Añonma,,gq EQG,"FW,MF",27-304,21,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,,us USA,"FW,MF",27-364,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,,us USA,DF,23-015,90,0,0,0,0,,,1,0,,,,,,,0,,
Clare Polkinghorne,,au AUS,DF,26-192,90,0,0,0,0,,,0,0,,,,,,,0,,
Meleana Shim,,us USA,MF,23-321,45,0,0,0,0,,,0,0,,,,,,,0,,
Lianne Sanderson,,eng ENG,FW,27-190,45,0,0,0,0,,,0,0,,,,,,,0,,
Christine Sinclair,,ca CAN,"FW,MF",32-061,90,0,0,0,0,,,0,0,,,,,,,0,,
Kat Williamson,,us USA,DF,26-011,90,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,,us USA,MF,28-242,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,1,0,,,,,,,0,,
