Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",28-326,90,0,0,0,0,,,0,0,,,,,,,0,,
Yael Averbuch,,us USA,"DF,MF",28-248,90,0,0,0,0,,,0,0,,,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",30-096,90,0,1,0,0,,,0,0,,,,,,,0,,
Shea Groom,,us USA,"FW,MF",22-127,82,1,2,0,0,,,0,0,,,,,,,0,,
Meghan Lisenby,,us USA,DF,22-200,8,0,0,0,0,,,0,0,,,,,,,0,,
Caroline Kastor,,us USA,FW,23-270,54,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Hagen,,us USA,FW,25-233,36,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Laddish,,us USA,MF,23-057,90,0,0,0,0,,,0,0,,,,,,,0,,
Amy LePeilbet,,us USA,DF,33-119,90,0,0,0,0,,,0,0,,,,,,,0,,
Rebecca Moros,,us USA,"DF,FW",30-064,90,0,0,0,0,,,0,0,,,,,,,0,,
Katelyn Rowland,,us USA,GK,21-115,90,0,0,0,0,,,0,0,,,,,,,0,,
Frances Silva,,us USA,"FW,MF",22-240,90,0,0,0,0,,,1,0,,,,,,,0,,
Erika Tymrak,,us USA,"FW,MF",23-336,89,2,0,0,0,,,0,0,,,,,,,0,,
Liz Bogus,,us USA,"FW,MF",31-135,1,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,3,3,0,0,,,1,0,,,,,,,0,,
