Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yael Averbuch,10.0,us USA,"DF,MF",29-270,90,0.0,0.0,,,2.0,0.0,,,2,0,0.0,,,,,,
Nicole Barnhart,18.0,us USA,GK,34-294,90,,,,,,,,,0,0,,,,,,,
Shea Groom,2.0,us USA,"FW,MF",23-148,90,0.0,0.0,,,1.0,0.0,,,1,2,0.0,,,,,,
Brittany Kolmel,13.0,us USA,DF,28-316,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Lo'eau LaBonta,1.0,us USA,MF,23-134,90,0.0,0.0,,,2.0,1.0,,,0,0,0.0,,,,,,
Mandy Laddish,7.0,us USA,MF,24-078,90,0.0,0.0,,,3.0,0.0,,,1,0,0.0,,,,,,
Tiffany McCarty,20.0,us USA,FW,25-229,69,0.0,0.0,,,2.0,0.0,,,2,0,0.0,,,,,,
Caroline Kastor,23.0,us USA,FW,24-292,21,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Molly Menchel,24.0,us USA,DF,24-238,83,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Tiffany Weimer,16.0,us USA,FW,32-238,7,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Brianne Reed,22.0,do DOM,DF,22-176,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Frances Silva,11.0,us USA,"FW,MF",23-262,90,0.0,0.0,,,2.0,0.0,,,1,0,0.0,,,,,,
Erika Tymrak,,us USA,"FW,MF",24-358,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
13 Players,,,,,990,0.0,0.0,,,13.0,1.0,,,10,4,0.0,,,,,,
