Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,13.0,us USA,"DF,MF",26-324,90,0,0,0,0,0,0,1,0,1,0,0,0,,,,,
Nicole Barnhart,18.0,us USA,GK,31-270,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Jen Buczkowski,6.0,us USA,"DF,MF",28-094,90,0,0,0,0,2,2,0,0,1,1,0,0,,,,,
Melissa Henderson,2.0,us USA,"FW,MF",23-318,90,0,0,0,0,1,1,0,0,0,1,1,0,,,,,
Courtney Jones,8.0,us USA,"DF,FW",23-047,73,0,0,0,0,3,3,0,0,1,2,0,0,,,,,
Teresa Noyola,,mx MEX,"FW,MF",23-083,17,0,0,0,0,1,0,0,0,2,0,0,0,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",23-005,85,0,0,0,0,3,2,0,0,1,2,0,0,,,,,
Tiffany Cameron,3.0,jm JAM,FW,21-264,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kristie Mewis,19.0,us USA,"DF,MF",22-132,90,0,0,0,0,1,1,0,0,2,1,0,0,,,,,
Becky Sauerbrunn,4.0,us USA,DF,28-031,90,0,0,0,0,1,1,0,0,0,1,0,0,,,,,
Desiree Scott,11.0,ca CAN,MF,25-341,90,0,0,0,0,1,1,0,0,2,0,0,0,,,,,
Lauren Sesselmann,14.0,ca CAN,"DF,FW",29-327,90,0,0,0,0,0,0,0,0,2,2,0,0,,,,,
Erika Tymrak,15.0,us USA,"FW,MF",21-334,90,0,0,0,0,3,2,0,0,0,1,0,0,,,,,
13 Players,,,,,990,0,0,0,0,16,13,1,0,12,12,1,0,,,,,
